# UN member-state Wikipedia network -- built 2026-09-09
# All 193 UN member states from Wikipedia's Category:Member_states_of_the_United_Nations
# (redirects resolved; 2 miscategorized non-country pages excluded, see notebook Step 1).
# 193 nodes. node_id matches un_edges.tsv.
node_id	name	wikidata_id	url	description
Ivory_Coast	Ivory Coast	Q1008	https://en.wikipedia.org/wiki/Ivory_Coast	Ivory Coast, also known as Côte d'Ivoire and officially as the Republic of Côte d'Ivoire, is a country on the southern coast of West Africa.
Jamaica	Jamaica	Q766	https://en.wikipedia.org/wiki/Jamaica	Jamaica is an island country in the Caribbean, covering 10,991 square kilometres (4,244 sq mi).
Japan	Japan	Q17	https://en.wikipedia.org/wiki/Japan	Japan is an island country in East Asia.
Jordan	Jordan	Q810	https://en.wikipedia.org/wiki/Jordan	Jordan, officially the Hashemite Kingdom of Jordan, is a country in the Southern Levant region of West Asia.
Kazakhstan	Kazakhstan	Q232	https://en.wikipedia.org/wiki/Kazakhstan	Kazakhstan, officially the Republic of Kazakhstan, is a landlocked country situated primarily in Central Asia, with a portion of its territory extending into Eastern Europe.
Kenya	Kenya	Q114	https://en.wikipedia.org/wiki/Kenya	Kenya, officially the Republic of Kenya, is a country located in East Africa.
Kiribati	Kiribati	Q710	https://en.wikipedia.org/wiki/Kiribati	Kiribati, officially the Republic of Kiribati, is an archipelagic country spanning the Micronesia and Polynesia sub-regions of Oceania in the central Pacific Ocean.
Kuwait	Kuwait	Q817	https://en.wikipedia.org/wiki/Kuwait	Kuwait, officially the State of Kuwait, is a country in West Asia.
Kyrgyzstan	Kyrgyzstan	Q813	https://en.wikipedia.org/wiki/Kyrgyzstan	Kyrgyzstan, officially the Kyrgyz Republic, formerly known as Kirghizia, is a landlocked country located in Central Asia, lying in the Tian Shan and Pamir mountain ranges.
Laos	Laos	Q819	https://en.wikipedia.org/wiki/Laos	Laos, officially the Lao People's Democratic Republic (LPDR), is a country in Mainland Southeast Asia, and the only landlocked country in Southeast Asia.
Latvia	Latvia	Q211	https://en.wikipedia.org/wiki/Latvia	Latvia, officially the Republic of Latvia, is a country in the Baltic region of northern Europe.
Lebanon	Lebanon	Q822	https://en.wikipedia.org/wiki/Lebanon	Lebanon, officially the Lebanese Republic, is a country in the Levant region of West Asia.
